Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
99.1,81826166,112,730590.8,360953.0,992,5166913,844015.2,[CUDA memcpy Host-to-Device]
0.9,728899,1275,571.7,416.0,351,2272,364.1,[CUDA memset]
